Title,Author(s),Published Year,Editions,Avg. Rating,Num. of Ratings
Data Science for Marketing Analytics: Achieve your marketing goals with the data analytics power of Python,"['Tommy Blanchard', 'Pranshu Bhatnagar', 'Debasish Behera']",0,2,3.00,2
Data Science in Higher Education: A Step-By-Step Introduction to Machine Learning for Institutional Researchers,['Jesse Lawson'],2015,1,3.12,8
Unsupervised Deep Learning in Python: Master Data Science and Machine Learning with Modern Neural Networks written in Python and Theano,['Lazy Programmer'],0,1,3.43,7
"Java Programming Box Set: Programming, Master's Handbook & Artificial Intelligence Made Easy; Code, Data Science, Automation, problem solving, Data Structures & Algorithms",['Code Well Academy'],0,1,3.57,7
"Data Science From Scratch: How to Become a Data Scientist. Complete Guide to Learning the Data Science Process & what YOU NEED to Know about: Analytics, ... Structures, Management, Driven, Privacy",['David Park'],0,2,0.00,0
Docker for Data Science: Building Scalable and Extensible Data Infrastructure Around the Jupyter Notebook Server,['Joshua Cook'],0,2,3.67,15
Strengthening Data Science Methods for Department of Defense Personnel and Readiness Missions,"['Committee on Strengthening Data Science Methods for Department of Defense Personnel and Readiness Mi', 'Committee on Applied and Theoretical Statistics', 'Board on Mathematical Sciences and Their Applications']",0,1,0.00,0
There Are Two Types Of People In The World Those Who Can Extrapolate From Incomplete Data: Computer Data Science Gift For Scientist,['Data Science Co'],0,1,0.00,0
There Are Two Types Of People In The World Those Who Can Extrapolate From Incomplete Data: Computer Data Science Gift For Scientist,['Data Science Co'],0,1,0.00,0
Data Science for Business Professionals: A Practical Guide for Beginners,['Probyto Data Science and Consulting Pvt. Ltd.'],0,1,0.00,0
"Making Data Talk: The Science and Practice of Translating Public Health Research and Surveillance Findings to Policy Makers, the Public, and the Press","['David E. Nelson', 'Bradford W. Hesse', 'Robert T. Croyle']",2007,4,3.71,7
"AI in Marketing, Sales and Service: How Marketers without a Data Science Degree can use AI, Big Data and Bots",['Peter Gentsch'],0,2,4.33,3
Unicorns Among Us: Understanding the High Priests of Data Science,['Lars Nielsen'],2014,2,3.31,13
"Data Science in Python. Volume 3: Plots and Charts with Matplotlib, Data Analysis with Python and SQLite",['Alexander Stepanov'],0,1,3.20,5
The Data Science Handbook,"['Carl Shan', 'Henry Wang', 'William Chen']",0,1,5.00,2
There Are Two Types Of People In The World Those Who Can Extrapolate From Incomplete Data: Computer Data Science Gift For Scientist,['Data Science Co'],0,1,0.00,0
Analytical Skills for AI and Data Science: Building Skills for an Ai-Driven Enterprise,['Daniel Vaughan'],0,4,3.25,4
There Are Two Types Of People In The World Those Who Can Extrapolate From Incomplete Data: Computer Data Science Gift For Scientist,['Data Science Co'],0,1,0.00,0
The Python Bible 7 in 1: Volumes One To Seven,['Florian Dedov'],0,2,5.00,1
"Ruby Programming Box Set: Programming, Master's Handbook & Artificial Intelligence Made Easy; Code, Data Science, Automation, problem solving, Data Structures & Algorithms",['Code Well Academy'],0,1,2.00,2
Data Science for Startups,['Ben G Weber'],0,2,3.67,15
"Development Workflows for Data Scientists: Enabling Fast, Efficient, and Reproducible Results for Data Science Teams",['Ciara Byrne'],2017,1,4.33,9
"Beginning Data Science with Python and Jupyter: Use powerful industry-standard tools within Jupyter and the Python ecosystem to unlock new, actionable insights from your data",['Alex Galea'],0,2,4.00,1
"Big Data For Business: Your Comprehensive Guide To Understand Data Science, Data Analytics and Data Mining To Boost More Growth and Improve Business (Data Analytics Book Series 2)",['Victor Finch'],0,1,2.00,5
"Data Science for Business 2019 (2 BOOKS IN 1): Master Data Analytics & Machine Learning with Optimized Marketing Strategies (Artificial Intelligence, Neural ... Networks, Algorithms & Predictive Modelling","['Riley Adams', 'Matt Henderson']",0,1,3.57,7
There Are Two Types Of People In This World: Those Who Can Extrapolate From Incomplete Data: Computer Data Science Journal Blank Lined Notebook (6x9) 60 Pages,['Data Science Journal'],0,1,0.00,0
There Are Two Types Of People In The World Those Who Can Extrapolate From Incomplete Data: Computer Data Science Gift For Scientist,['Data Science Co'],0,1,0.00,0
Data Science and Analytics for Ordinary People,['Jeffrey Strickland'],2015,1,4.00,2
"Essential Math for Data Science: Take Control of Your Data with Fundamental Calculus, Linear Algebra, Probability, and Statistics",['Hadrien Jean'],0,1,0.00,0
"Machine Learning: 2 Books in 1: Python Machine Learning and Data Science. A Comprehensive Guide for Beginners to Master Deep Learning, Artificial Intelligence ... Python.",['Andrew Park'],0,1,0.00,0
Probability and Statistics for Data Science: Math + R + Data,['Norman Matloff'],0,4,4.00,3
R Programming For Beginners - For Data Science: Crash Course,['Martin Laredo'],0,1,3.00,6
"Case Studies And Guesstimates for Data Science, Business Analyst and MBA candidate: Crack the Case Study Round",['The DataMonk'],0,1,3.00,2
Understanding Big Data: A Beginners Guide to Data Science & the Business Applications,['Eileen McNulty-Holmes'],2014,1,5.00,1
Living That Data Life: Blank Lined Journal Gift For Computer Data Science Related People.,['Data Science Journal'],0,1,0.00,0
"Data Science Projects with Python: A case study approach to successful data science projects using Python, pandas, and scikit-learn",['Stephen Klosterman'],0,2,4.00,4
Python Data Science Essentials - Second Edition,"['Luca Massaron', 'Alberto Boschetti']",0,1,4.00,2
"Data Science From Scratch: The First Book For Beginners With Techniques For A Smarter Faster Way To Learn Data Analysis, Data Mining, Big Data For Business, Analytics Principles And Machine Learning",['Phil J. Hack'],0,2,4.00,1
"Linux: This Book Includes 4 Manuscripts. The Underground Bible to the UNIX Operating System with Tools On Security and Kali Hacking to Understand Computer Programming, Data Science and Command Line",['Darwin Growth'],0,4,0.00,0
Data Science with Python,"['Dusty Phillips', 'Fabrizio Romano', 'Phuong Vo T H']",0,2,2.00,1
Mathematical Underpinnings of Analytics: Theory and Applications for Data Science in Customer-Facing Industries,['Peter Grindrod'],2015,1,3.33,3
Python: Ultimate Crash Course to Learn It Well and Become an Expert in Python Programming,['Jamie Logan'],0,2,3.22,9
"AI for Data Science: Artificial Intelligence Frameworks and Functionality for Deep Learning, Optimization, and Beyond","['Zacharias Voulgaris', 'Yunus Bulut']",0,2,4.67,18
Python Data Science: An Ultimate Guide for Beginners to Learn Fundamentals of Data Science Using Python,['Christopher Wilkinson'],0,2,3.00,1
Science Data Book,['R.M. Tennent'],0,1,4.67,3
"Data Analytics and Python Programming 2 Bundle Manuscript: Beginners Guide to Learn Data Analytics, Predictive Analytics and Data Science with Python Programming ... Freedom and Data Driven Book Book 8)",['Isaac D. Cody'],0,1,3.00,4
Machine Learning in Production: Developing and Optimizing Data Science Workflows and Applications (Addison-Wesley Data & Analytics Series),"['Andrew Kelleher', 'Adam Kelleher']",0,1,2.00,1
"Python Programming: The Complete Guide to Learn Python for Data Science, AI, Machine Learning, GUI and More With Practical Exercises and Interview Questions",['Nicholas Ayden'],0,2,3.50,4
"The Little Book of DATA SCIENCE, 2012 Edition",['noreen burlingame'],2012,1,3.83,6
Introduction to Data Science with Python: Basics of Numpy and Pandas,['Mark Smart'],0,2,3.86,7
Foundations of Data Science: A Practical Introduction to Data Science with Python,['Jonathan Dinu'],2019,1,5.00,1
"Python Programming: A complete beginners guide on python machine learning, data science and tools (Computer Programming Book 1)",['Bill Norton'],0,1,0.00,0
Modern Data Science with R,"['Benjamin S Baumer', 'Daniel T Kaplan', 'Nicholas J Horton']",0,2,3.00,2
"Artificial Intelligence for Beginners: Easy to understand guide of Ai, data Science and Internet of Things. How to use AI in practice? Revelations of Ai superpowers explained for the real world",['Jeff Mc Frockman'],0,3,2.20,5
"Data Science for Beginners: The Ultimate Guide to Developing Step by Step Your Data Science Skills from Scratch, to Make the Best Decisions and Predictions",['Matt Foster'],0,2,0.00,0
Deep Learning Made Easy with R: Volume II: Practical Tools for Data Science,['N.D. Lewis'],0,2,4.00,1
50 years of data science,['David Donoho'],2015,1,3.60,10
500 Most Important Data Science Interview Questions and Answers: Crack That Next Interview With Higher Salary In Less Preparation Time,['Vamsee Puligadda'],0,1,0.00,0
Markov Models Supervised and Unsupervised Machine Learning: Mastering Data Science & Python (Artificial Intelligence Book 3),['William Sullivan'],0,2,3.67,3
A collection of Advanced Data Science and Machine Learning Interview Questions Solved in Python and Spark (II) (A Collection of Programming Interview Questions Book 7),['Antonio Gulli'],0,2,4.75,4
"Big Data: A Guide to Big Data Trends, Artificial Intelligence, Machine Learning, Predictive Analytics, Internet of Things, Data Science, Data Analytics, Business Intelligence, and Data Mining",['Richard Hurley'],0,3,4.00,7
Machine Learning for Beginners: Learn and Understand the Basics of Artificial Intelligence. A Beginner's Guide to Properly Understand Machine Learning Essentials with Data Science Principles,['Samuel Hack'],0,2,5.00,2
A Simple Introduction to Data Science: BOOK TWO (New Street Data Science Basics 2),['Lars Nielsen'],2015,2,3.00,7
Data Science for Business: Data Analytics Guide with Strategies and Techniques,['Charles Jensen'],0,3,4.14,7
"Data Science for Business: Predictive Modeling, Data Mining, Data Analytics, Data Warehousing, Data Visualization, Regression Analysis, Database Querying, and Machine Learning for Beginners",['Herbert Jones'],0,2,2.00,3
"Artificial Intelligence: 2 Books In 1:The Beginner’s Guide to Data Science, Data Analytics, Deep Learning, Machine Learning, Mining, Deep Medicine. The Revolution of the Future Today!",['Benjamin Brown'],0,1,4.00,1
"Python Project For Beginners: Python at your fingertips! Learn, create, experiment, and don't miss the current programming language. Introduction to data science, coding, and analysis.",['Eric Chamberlin'],0,1,4.12,8
Data Science: A Comprehensive Beginners Guide to Learn the Realms of Data Science,['William Vance'],0,3,2.50,2
Statistics: Statistics for Beginners in Data Science: Theory and Applications of Essential Statistics Concepts using Python,['AI Publishing'],0,1,4.00,1
Data Science with R: A Step By Step Guide With Visual Illustrations & Examples,['Andrew Oleksy'],0,1,4.00,3
The 9 Pitfalls of Data Science,"['Gary Smith', 'Jay Cordes']",0,4,2.50,2
Beginning Data Science in R,['Thomas Mailund'],0,2,3.67,3
A Beginner’s Guide to Getting Your First Data Science Job,['￼Springboard'],0,1,4.50,2
Practical Machine Learning - Real-World Solutions to the Challenges of Data Science,['Sunila Gollapudi'],0,2,3.00,3
Data Science Solutions: Machine Learning. Python. Google Cloud. AWS. Neo4j. Kaggle.,['Manav Sehgal'],0,1,3.67,3
"Predictive Analytics: The Secret to Predicting Future Events Using Big Data and Data Science Techniques Such as Data Mining, Predictive Modelling, Statistics, Data Analysis, and Machine Learning",['Richard Hurley'],0,1,5.00,2
Big Data in Cognitive Science,['Michael N. Jones'],0,6,5.00,1
Learn Python Programming: The Crash Course to Learn Python Language and its Application for Data Science with Python 3. A Beginner's Guide to Python Machine Learning with Practical Examples,['Mark J. Branson'],0,2,0.00,0
"Python Programming: The Crash Course for Python – Learn the Secrets of Machine Learning, Data Science Analysis and Artificial Intelligence. Introduction to Deep Learning for Beginners",['Marc Matthes'],0,3,0.00,0
"Python Programming : The Easiest Python Crash Course to Go Deep Through The Main Applications As Web Development, Data Analysis, And Data Science Including Machine Learning (computer science Book 1)",['Alan Grid'],0,1,4.00,7
Introduction to Data Science and Statistical Programming in R,['Thomas Mailund'],0,2,5.00,2
Statistics for Data Science,['James D. Miller'],0,3,2.00,3
Introduction to Data Science,['Rafael A. Irizarry'],0,1,4.00,2
Data Science em 12 Semanas: Mais simples do que você imagina...,"['Anderson Weber', 'Tatiana Cristina Perez']",0,1,5.00,1
Hands-On Data Science with Anaconda: Utilize the right mix of tools to create high-performance data science applications,"['Yuxing Yan', 'James Yan']",0,3,1.00,1
"Machine Learning for Beginners: A Step-By-Step Guide to Understand Deep Learning, Data Science and Analysis, Basic Software and Algorithms for Artificial Intelligence",['David                     Brown'],0,2,3.25,4
Exploring Data Science,"['John Mount', 'Nina Zumel', 'Robert I. Kabacoff']",0,1,4.00,1
"Python Data Science: The Ultimate Handbook for Beginners on How to Explore NumPy for Numerical Data, Pandas for Data Analysis, IPython, Scikit-Learn and Tensorflow for Machine Learning and Business",['Steve Blair'],0,1,3.50,2
Evidence-Based Climate Science: Data opposing CO2 emissions as the primary source of global warming,['Don Easterbrook'],2011,3,0.00,0
Data Science from Scratch: Comprehensive guide with essential principles of Data Science,['Scott Harvey'],0,1,3.00,2
Modern Data Science with R,"['Benjamin S. Baumer', 'Daniel T. Kaplan', 'Nicholas J. Horton']",0,2,4.00,4
"Lean Analytics: The Ultimate Guide to an Agile Way of Analytics, Advanced Analytics, and Data Science for a Superior Way to Build Startups and Run Enterprises",['James Edge'],0,2,3.00,1
"Python: The Ultimate Crash Course For Data Analysis, Machine Learning and Data Science, With Practical Computer Coding Exercises",['Computer Programming Academy'],0,2,2.00,1
Big Data at Work: The Data Science Revolution and Organizational Psychology,"['Scott Tonidandel', 'Eden King', 'Jose Cortina']",2015,6,3.67,3
Big Data: A Beginner's Guide To Using Data Science For Business,['Eliot P. Reznor'],0,2,3.20,5
"Data Science & Machine Learning Algorithms: A CONCISE GUIDE (including R & Python functions, Datasets, and Free Text Books)",['Ananthu S Chakravarthi'],0,1,4.25,4
"MACHINE LEARNING WITH PYTHON: An introduction to Data Science with useful concepts and examples, step by step, learning to use Python (2 BOOKS IN 1, FOR ABSOLUTE BEGINNERS AND NOT)",['William Gray'],0,1,2.50,2
Financial Analytics with R: Building a Laptop Laboratory for Data Science,"['Mark Bennett', 'Dirk Hugen']",0,1,4.00,1
NumPy for Beginners: First Step to learn Data Science (1),['Preeti Saraswat'],0,1,3.80,5
Fighting Churn with Data: The science and strategy of customer retention,['Carl S. Gold'],0,1,5.00,1
"Reading Technical Books: How To Get The Most Out Of Your Readings In Physics, Chemistry, Computer Science And Data Processing, Health Science, Engineering And Technology",['Anne Eisenberg'],1978,2,5.00,4
Data Analytics for Businesses 2019: Master Data Science with Optimised Marketing Strategies using Data Mining Algorithms,['Riley Adams'],0,3,3.25,8
"Data Science Live Book: An intuitive and practical approach to data analysis, data preparation and machine learning, suitable for all ages!",['Pablo Casas'],0,2,3.20,5
Data Science From Scratch: Comprehensive Beginners Guide To Learn Data Science From Scratch,['Henry George'],0,2,3.00,1
XML and Web Technologies for Data Sciences with R,"['Deborah Nolan', 'Duncan Temple Lang']",2013,1,3.00,1
Data Science With Python: The Absolute Beginners Guide To Learn Data Science With Python,['Henry George'],0,2,3.00,1
"Python Machine Learning: The Complete Beginners Guide to Programming and Deep Learning, Data Science and Artificial Intelligence Using Scikit-Learn and Tensorflow",['Kevin Howey'],0,2,2.67,3
PYTHON PROGRAMMING ADVANCED: The Guide for Data Analysis and Data Science. Discover Machine Learning With the Optimum Recipes for Mastering Python and ... (Crash Course Tips and Tricks Book 3),"['Lewis Taylor', 'Eric Matthews']",0,1,0.00,0
"Python for Data Analysis: The Ultimate Beginner's Guide to Learn programming in Python for Data Science with Pandas and NumPy, Master Statistical Analysis, and Visualization",['Matt Foster'],0,1,0.00,0
Data Science for Immunologists,"['Niclas Thomas', 'Laura Pallett']",0,2,4.67,3
Building Data Science Teams: Finding and Organizing the Right People,['Paco Nathan'],0,1,0.00,0
"Python Machine Learning for Beginners: The Beginner’s Guide to Big Data Analytics, Data Science, Data Analysis with Machine Learning and Programming Code with Python",['Leonard Deep'],0,1,0.00,0
"Python Data Science: The Ultimate Crash Course, Tips, and Tricks to Learn Data Analytics, Machine Learning, and Their Application (Programming Book 4)",['Steve Eddison'],0,1,1.00,1
"Artificial Intelligence Mastery: 4 Books in 1: Machine Learning and Artificial Intelligence for beginners+AI for Business+AI Superpowers and Data Analytics+IOT, Data Science and DL updated edition",['Jeff Mc Frockman'],0,1,1.50,2
"Python for Data Analysis: A Basic Programming Crash Course to Learn Python Data Science Essential Tools, Pandas, and Numpy with Questions and Answer from Beginners to Advanced",['Oscar Scratch'],0,2,3.00,1
97 Things about Ethics Everyone in Data Science Should Know,['Bill Franks'],0,4,0.00,0
Algorithms for Data Science,"['Brian Steele', 'John Chandler', 'Swarna Reddy']",0,2,3.00,1
"Python Programming: 2 books in 1: Learn Python Programming + Neural Networks for Beginners - An Easy Textbook for Getting Started with Machine Learning, ... Data Science (Artificial Intelligence 5)",['Russel R. Russo'],0,1,5.00,1
Introduction to HPC with Mpi for Data Science,['Frank Nielsen'],2016,1,2.50,2
"Advanced Object-Oriented Programming in R: Statistical Programming for Data Science, Analysis and Finance",['Thomas Mailund'],0,3,4.67,6
"Lean: The Ultimate Guide to Lean Six Sigma, Lean Enterprise, and Lean Manufacturing + Lean Analytics - The Agile Way to Build A Superior Startup Using Data Science",['James Edge'],0,1,2.50,2
Practical Data Science,['Andreas François Vermeulen'],0,1,4.00,1
"PYTHON FOR BEGINNERS: A Step by Step Guide to Python Programming, Data Science, and Predictive Model. A Practical Introduction to Machine Learning with Python",['Josh Hugh Learning'],0,1,5.00,2
Python for Data Science: A Beginners Guide to Learn Data Science Process With Python Programming Language. A Practical Approach to Key Frameworks in Data Science and Machine Learning.,['Mark J. Branson'],0,2,0.00,0
"The Monk who knew Linear Regression (Python): Understand, Learn and Crack Data Science Interview",['TheDataMonk'],0,1,4.25,4
"Python for Data Analysis: A Beginner’s Guide to Learn Data Science, Programming and Machine Learning’s Tips and Tricks",['Tony Hacking'],0,2,0.00,0
Complete Analytical Project before Data Science interview,['TheDataMonk'],0,1,4.17,6
"Just Plain Data Analysis: Finding, Presenting, and Interpreting Social Science Data, 2nd Edition",['Gary M. Klass'],2008,7,3.56,9
Machine Learning: 3 books in 1: - Hacking Tools for Computer + Hacking With Kali Linux + Python Programming- The ultimate beginners guide to improve your knowledge of programming and data science,['Adam Bash'],0,1,4.50,2
Data Science Design Patterns,['Todd Morley'],2016,1,0.00,0
Data and Democracy: How Political Data Science Is Shaping the 2016 Elections,['Andrew Therriault'],0,1,3.17,6
"Python for Data Science: The Ultimate Beginner's Guide to Learn Data Science, Analysis, and Machine Learning from Scratch with Step-by-Step Exercises (python programming Book 4)",['John Russel'],0,2,4.50,4
Ten Signs of Data Science Maturity,"['Peter Guerra', 'Kirk Borne']",0,1,3.60,5
Artificial Intelligence and Machine Learning for Business: The Ultimate Guide to Use Data Science for Business through Applied Artificial Intelligence. Includes Big Data and Data Mining for Business,['Oliver Tensor'],0,2,4.00,1
"Data Visualization and Exploration with R: A practical guide to using R, RStudio, and Tidyverse for data visualization, exploration, and data science applications",['Eric Pimpler'],0,2,3.00,1
Deep Learning With Python: Practical Guide For Beginners,['Mike Krebbs'],0,1,0.00,0
"30-Second Data Science: The 50 Key Principles and Innovations in the Field of Data-Gathering, Each Explained in Half a Minute",['Liberty Vittert'],0,2,4.60,5
"The Big Data Market. A Data-Driven Analysis of Companies Using Hadoop, Spark, and Data Science",['Aman Naimat'],0,1,3.20,5
"DATA SCIENCE FROM SCRATCH: Complete guide to master data process, mining, data-analytic, neural networks, machine learning in Python, Linear Algebra, Statistics, Coding, Applications Decision Tree",['G.S. Collins'],0,2,0.00,0
Data Science Programming All-In-One For Dummies (For Dummies,"['John Paul Mueller', 'Luca Massaron']",0,1,4.00,1
"Data Science: A Comprehensive Guide to Data Science, Data Analytics, Data Mining, Artificial Intelligence, Machine Learning, and Big Data",['Richard Hurley'],0,2,1.00,1
"Artificial Intelligence Business Applications: How to Learn Applied Artificial Intelligence and Use Data Science for Business. Includes Data Analytics, Machine Learning for Business and Python",['Oliver Tensor'],0,2,0.00,0
"Managing Your Data Science Projects: Learn Salesmanship, Presentation, and Maintenance of Completed Models",['Robert de Graaf'],0,2,2.50,2
Практическая статистика для специалистов Data Science [Prakticheskaya statistika dlya spetsialistov Data Science],"['Peter Bruce', 'Andrew Bruce', 'Питер Брюс']",0,8,4.04,280
Neural Data Science: A Primer with MATLAB® and PythonTM,"['Erik Lee Nylen', 'Pascal Wallisch']",0,3,4.00,2
"Data Science from Scratch: Want to become a Data Scientist? This guide for beginners will walk you through the world of Data Science, Big Data, Machine Learning and Deep Learning",['Steve Geddis'],0,2,4.00,2
"Business Intelligence: An Essential Beginner’s Guide to BI, Big Data, Artificial Intelligence, Cybersecurity, Machine Learning, Data Science, Data Analytics, Social Media and Internet Marketing",['Richard Hurley'],0,2,3.00,1
Simulation for Data Science with R,['Matthias Templ'],0,4,1.25,4
Apache Spark for Data Science Cookbook,['Padma Priya Chitturi'],0,3,3.00,2
"Python for Data Analysis: A Step-By-Step Guide to Master the Basics of Data Science and Analysis in Python Using Pandas, Numpy And Ipython (Data Science Mastery Book 2)",['Andrew Park'],0,2,0.00,0
"Data Science: Learn the What, Where, and How of Data Science",['Sandya Mannarswamy'],2014,1,4.00,2
Statistical Learning and Data Science,"['Mireille Gettler Summa', 'Léon Bottou', 'Bernard Goldfarb']",2011,3,3.00,2
"Big Data: A Complete Guide to the Basic Concepts in Data Science, Cyber Security, Analytics and Metrics",['Hans Weber'],0,2,3.60,5
"From Words to Numbers: Narrative, Data, and Social Science","['Roberto Franzosi', 'Mark Granovetter']",2004,2,3.50,4
PYTHON: 2 Books in 1: Python Programming & Data Science. Master Data Analysis in Less than 7 Days and Discover the Secrets of Machine Learning with Step-by-Step Exercises,['Jason Callaway'],0,1,4.00,2
Practical Data Science with R Second Edition,"['Nina Zumel', 'John Mount']",0,1,4.00,1
Machine Learning: The Art and Science of Algorithms That Make Sense of Data,['Peter Flach'],2012,8,3.99,130
"Data Analytics: 3 Books in 1 - The New Ultimate Bible for Understanding & Using Data Analytics, Big Data + Data Science For Business + Data Mining",['John Harper'],0,2,3.50,4
"Data Science: 2 Books in 1: Python Programming & Python for Data Science, The Ultimate Guide to Learn Machine Learning and Predictive Analytics from Scratch with Hands-On Projects",['John Russel'],0,2,3.00,1
"Python Machine Learning: A Beginner’s Guide to Python Programming for Machine Learning and Deep Learning, Data Analysis, Algorithms and Data Science With Scikit Learn, TensorFlow, PyTorch and Keras",['Zach Codings'],0,2,4.14,7
The Python Bible 5 in 1: Volumes One To Five,['Florian Dedov'],0,2,3.00,1
Intelligent Techniques for Data Science,"['Rajendra Akerkar', 'Priti Srinivas Sajja']",0,2,4.00,1
Python for R Users: A Data Science Approach,['Ajay Ohri'],0,3,3.00,5
"Python for Beginners: Master Data Science, Artificial Intelligence and Machine Learning with this Smart Python Programming Language Guide",['Oscar Brogan'],0,2,2.00,1
"Python for Beginners: The Crash Course to Learn Python Programming Fast (10 Python Projects) – Learn to Artificial Intelligence, Big Data, Data Science, Machine Learning, Deep Learning",['sivakumar munusami'],0,1,3.50,4
PYTHON: 2 Books in 1: Python Programming & Data Science. Master Data Analysis from Scratch and Discover the Secrets of Machine Learning with Step-by-Step Exercises,['Daniel Howard'],0,1,1.00,1
Analyzing Social Science Data: 50 Key Problems in Data Analysis,['David De Vaus'],2002,4,4.00,2
R: Bootcamp - Learn The Basics of Ruby Programming in 2 Weeks!,['David   Maxwell'],0,2,3.60,5
Exam Ref 70-774 Perform Cloud Data Science with Azure Machine Learning,"['Ginger Grant', 'Julio Granados', 'Guillermo Fernández']",0,3,5.00,1
Charting the Next Pandemic: Modeling Infectious Disease Spreading in the Data Science Age,"['Ana Pastore y Piontti', 'Nicola Perra', 'Luca Rossi']",0,1,3.50,2
Python Data Science: The Complete Guide to Data Analytics + Machine Learning + Big Data Science + Pandas Python. The Easy Way to Programming,['Aaron Khan'],0,4,0.00,0
"A complete Data Science interview with 100+ Questions: SQL, Python, Statistics, Linear Regression and MS Excel, updated for 2019",['TheDataMonk'],0,1,4.33,3
Data Science and Machine Learning: Mathematical and Statistical Methods,"['Dirk P Kroese', 'Zdravko Botev', 'Thomas Taimre']",0,4,5.00,1
Data Scientist's Book of Quotes: Insights and Advice from Data Science Leaders and Key Influencers,['Matt Corey'],0,2,4.50,2
"The Real Work of Data Science: Turning data into information, better decisions, and stronger organizations","['Ron S. Kenett', 'Thomas C. Redman']",0,1,4.33,3
Preparing Data for Sharing: Guide to Social Science Data Archiving,['Data Archiving and Networked Services'],2010,2,3.75,4
Practical Data Science: A Guide to Building the Technology Stack for Turning Data Lakes into Business Assets,['Andreas François Vermeulen'],0,1,0.00,0
Data Science Fundamentals,"['Lars Nielsen', 'noreen burlingame']",2013,2,4.50,2
Neural Data Science: A Primer with Matlab(r) and Python,"['Pascal Wallisch', 'Erik Lee Nylen']",0,1,4.33,3
XML and Web Technologies for Data Sciences with R,"['Deborah Nolan', 'Duncan Temple Lang']",2013,1,5.00,2
Python for Beginners: The Crash Course to Learn Python Programming in 3-Days (or less). Master Artificial Intelligence for Data Science and Machine Learning + Practical Exercises,['Aaron Khan'],0,4,0.00,0
Data Science with Julia,"['Paul D. McNicholas', 'Peter A. Tait']",0,5,4.00,2
Data Science Fundamentals for Python and MongoDB,['David Paper'],0,1,2.00,1
Model-Based Clustering and Classification for Data Science: With Applications in R,"['Charles Bouveyron', 'Gilles Celeux', 'T Brendan Murphy']",0,3,4.00,1
Data Science From Scratch: Ultimate Guide To Master Data Mining And Data-Analytic From Linear Algebra And Statistics To Practical Examples Of Neural Networks ... In Python (Computer Networking Easy Book 2),['Ramon Base'],0,1,2.75,4
What Is Data Science?,['Mike Barlow'],0,1,4.40,5
"Python Crash Course: Learn to automate the boring stuff. Python programming for beginners, learn basics and master Python data science. The guide with the best tricks.",['Eric Bader'],0,2,1.67,3
Data Science i uczenie maszynowe,['Szeliga Marcin'],0,1,3.50,4
"Ruby: Beginner's Guide for Ruby - Database Programming, Data Science, Data Structures & Algorithms",['Robert Scott'],2015,1,5.00,1
Data Science Essentials in Python: Collect - Organize - Explore - Predict - Value,['Dmitry Zinoviev'],0,1,3.00,1
Machine Learning for Beginners: The Beginners Guide to Understand Artificial Intelligence Business Applications and Machine Learning for Business. Includes Deep Learning and Data Science for Business,['Oliver Tensor'],0,2,0.00,0
Statistics for the Trading Floor: Data Science for Investing,['Patrick Boyle'],0,1,0.00,0
"Data Analytics and Computer Hacking & Mobile Hacking 3 Bundle Manuscript: Beginners Guide to Learn Data Analytics, Predictive Analytics and Data Science ... (Hacking Freedom and Data Driven Book 7)",['Isaac D. Cody'],0,1,0.00,0
"Jupyter for Data Science: Exploratory analysis, statistical modeling, machine learning, and data visualization with Jupyter",['Dan Toomey'],0,3,2.00,2
R Data Science Essentials,"['Raja B. Koushik', 'Sharan Kumar Ravindran']",0,2,4.00,2
Mastering Julia - Tackle the Contemporary Challenges of Programming and Data Science with Julia,['Malcolm Sherrington'],2015,2,2.75,8
"Python Programming, Deep Learning: 3 Books in 1: A Complete Guide for Beginners, Python Coding for AI, Neural Networks, & Machine Learning, Data Science/Analysis with Practical Exercises for Learners",['Anthony Adams'],0,2,4.50,4
The Practice of Reproducible Research: Case Studies and Lessons from the Data-Intensive Sciences,"['Justin Kitzes', 'Daniel Turek', 'Fatma Deniz']",0,1,4.00,1
Breaking Data Science Open: How Open Data Science is eating the world,"['Michele Chambers, Christine Doig, Ian Stokes-Rees']",0,1,3.00,5
"Python: 3 Books in 1 : Machine Learning, Python and Data Science. Learn Computer Programming for Beginners.",['Oliver Soranson'],0,1,4.00,1
Mathematical Problems in Data Science: Theoretical and Practical Methods,"['Li M Chen', 'Zhixun Su', 'Bo Jiang']",2015,2,4.00,1
Julia for Data Science,['Anshul Joshi'],0,3,3.00,2
Coffee Break NumPy: A Simple Road to Data Science Mastery That Fits Into Your Busy Life (Coffee Break Python Book 3),"['Christian Mayer', 'Lukas Rieger', 'Zohaib Riaz']",0,2,5.00,1
Data Science for Transport: A Self-Study Guide with Computer Exercises,['Charles Fox'],0,2,2.67,3
Data Science Strategy for Dummies,['Eugene Dubossarsky'],0,2,5.00,1
Data Science (Urdu): ڈیٹا سائنس ایک تعارف,"['Zeeshan-ul-Hassan Usmani', 'Sana Rasheed']",0,1,5.00,1
"Metaprogramming in R: Advanced Statistical Programming for Data Science, Analysis and Finance",['Thomas Mailund'],0,3,5.00,2
Special Edition Data Science Interview Questions Solved in Python and Spark: with Deep Learning and Reinforcement Learning Bonus Questions,['Antonio Gulli'],0,1,5.00,1
"Python Data Science: from Beginner to Experts About Techniques of Data Mining, Big Data Analytics and Science, Python Programming and How to Use Them in Business",['Austin Scratch'],0,1,0.00,0
